,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5 Google Score
6018,87.84
6021,82.056
6026,86.241
9479,87.273
16980,77.622
17014,78.35
18230,85.499
18348,85.605
26715,84.221
26747,82.822
29788,85.69
29835,83.558
30606,79.553
30845,88.337
32072,85.56
46443,87.829
46506,80.718
50300,84.118
51419,87.658
53971,84.043
53972,83.095
53973,85.647
53974,85.712
53975,86.27
53976,79.759
53977,83.441
53978,84.895
53979,87.934
53981,86.646
54796,82.971
54797,86.685
54798,84.588
54799,82.833
54800,80.665
56453,83.713
56528,80.412
56542,83.79
56543,83.765
56544,83.785
56545,78.841
56618,86.443
56619,83.262
56629,87.595
56630,83.659
56631,85.655
56632,86.674
56633,83.999
56634,82.182
56635,85.404
56637,82.68
56638,86.646
56639,86.944
56641,81.835
56642,83.451
56643,83.572
56644,81.216
56645,85.658
56646,81.312
56647,84.512
56648,79.51
56649,82.814
56650,82.897
56651,85.879
56652,83.177
56653,80.184
56654,82.71
56656,83.939
56657,85.763
56661,85.105
56662,85.664
56725,84.921
56795,81.259
56796,86.072
56797,85.074
56798,79.816
56799,81.257
56800,81.893
56801,85.053
56802,80.948
56803,87.138
56804,87.749
56805,82.706
56807,87.273
56809,85.186
56859,83.557
56860,88.227
56861,83.907
56862,86.334
57384,86.0
57400,86.803
62042,83.136
63086,81.674
63087,84.923
83710,85.076
83711,77.835
86666,84.98
87779,79.588
97622,87.954
98134,86.063
98135,85.985
98136,85.705
98137,85.138
98138,84.161
98171,84.558
98172,83.528
98173,86.293
98245,80.7
98250,82.117
98251,83.149
98252,76.263
98253,78.915
98254,85.56
98255,85.602
98256,80.246
98257,83.249
98258,84.158
98259,80.158
98260,81.803
98261,84.97
98262,81.664
98263,82.95
98264,80.888
98265,81.666
98266,83.093
98267,79.324
98268,79.501
98269,85.027
98270,81.238
98271,84.141
98272,87.914
98273,82.868
98274,86.803
98275,85.646
98276,85.86
98277,87.575
98278,86.376
98279,85.658
98280,85.656
98281,87.531
98282,85.007
98283,87.223
98284,85.554
98285,82.558
98286,86.36
98287,88.054
98288,80.216
98289,80.336
98290,80.366
98291,86.085
98292,86.143
98293,84.401
98294,81.838
