,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5 Google Score
6018,85.865
6021,81.349
6026,85.743
9479,86.492
16980,76.99
17014,78.694
18230,82.786
18348,84.736
26715,83.629
26747,84.886
29788,84.049
29835,82.754
30606,81.8
30845,85.468
32072,84.97
46443,85.169
46506,81.745
50300,82.682
51419,87.604
53971,85.438
53972,83.772
53973,86.137
53974,84.417
53975,85.699
53976,81.782
53977,82.96
53978,85.071
53979,87.85
53981,85.332
54796,84.188
54797,86.437
54798,83.418
54799,83.989
54800,79.769
56453,83.171
56528,80.317
56542,81.356
56543,81.809
56544,84.901
56545,81.723
56618,86.651
56619,82.097
56629,87.514
56630,81.706
56631,85.378
56632,87.188
56633,83.429
56634,81.621
56635,85.196
56637,81.645
56638,86.419
56639,86.234
56641,81.407
56642,83.926
56643,83.979
56644,80.505
56645,85.311
56646,80.013
56647,84.519
56648,78.152
56649,83.421
56650,82.737
56651,85.419
56652,85.595
56653,79.54
56654,82.195
56656,83.849
56657,85.663
56661,84.473
56662,86.645
56725,81.091
56795,80.932
56796,84.599
56797,83.874
56798,80.284
56799,81.918
56800,82.778
56801,84.695
56802,80.764
56803,89.142
56804,88.065
56805,81.844
56807,85.069
56809,84.79
56859,82.125
56860,85.869
56861,83.991
56862,85.444
57384,87.668
57400,86.575
62042,84.1
63086,82.957
63087,83.04
83710,83.99
83711,77.71
86666,85.818
87779,79.323
97622,87.698
98134,86.171
98135,86.716
98136,85.185
98137,84.742
98138,85.343
98171,85.719
98172,82.461
98173,84.868
98245,82.051
98250,83.038
98251,83.587
98252,75.706
98253,83.486
98254,85.73
98255,85.894
98256,83.477
98257,83.976
98258,82.843
98259,83.725
98260,82.372
98261,83.977
98262,83.854
98263,86.364
98264,82.995
98265,80.79
98266,83.549
98267,77.743
98268,79.5
98269,86.899
98270,83.574
98271,83.681
98272,89.162
98273,84.655
98274,86.918
98275,84.603
98276,86.035
98277,88.363
98278,86.918
98279,86.553
98280,83.892
98281,86.094
98282,85.152
98283,86.9
98284,84.092
98285,82.881
98286,85.235
98287,86.77
98288,80.902
98289,82.865
98290,78.199
98291,85.47
98292,87.428
98293,84.387
98294,81.613
98295,85.203
98296,84.167
98297,85.276
98298,86.62
98299,85.333
98300,85.866
98301,84.282
98302,85.688
98303,84.254
98304,84.147
98305,87.436
98306,86.706
98307,85.415
98308,82.644
98309,81.972
98310,83.102
98311,86.131
98312,85.096
98313,86.945
98314,87.737
98315,84.063
98316,87.032
98317,83.454
98318,86.63
98319,85.394
98320,86.034
98321,83.208
98322,86.726
98323,87.0
98324,85.537
98325,85.431
98326,81.551
98327,80.581
98328,87.076
98329,84.164
98330,85.375
98331,82.417
98332,81.66
98333,82.923
98334,79.858
98335,81.624
98336,81.135
98337,85.824
98338,80.989
98339,81.617
98340,85.868
98341,84.049
98342,85.714
98343,84.782
98344,86.92
98345,85.011
98346,85.377
98347,79.515
98348,80.282
98349,87.766
98350,86.992
98351,83.762
98352,82.168
98353,82.625
98354,76.868
98355,82.124
98356,83.033
98357,79.281
98358,86.369
98359,81.055
98360,76.752
98361,86.575
98362,84.885
98363,85.327
98364,83.82
98365,84.064
98366,81.226
98367,82.442
98368,81.986
98369,85.369
98370,87.163
98371,87.058
98372,86.627
98373,85.463
98374,84.628
98375,85.801
98376,81.877
98377,84.819
98378,86.006
98379,87.637
98380,85.614
98381,81.509
98382,86.096
98383,82.446
98384,84.829
98385,85.375
98386,81.636
98387,86.381
98388,85.756
98389,85.664
98390,82.704
98391,84.356
98392,85.23
98393,83.407
98394,84.774
98395,87.126
98396,83.937
98397,85.605
98398,83.157
98399,80.201
98400,79.288
98401,82.646
98402,84.016
1747,81.438
1784,81.751
2476,80.581
2515,79.434
2517,78.305
2529,78.718
2538,79.536
2551,81.481
2553,78.146
2554,84.402
2555,80.619
2556,80.637
2577,78.987
2582,80.85
2583,80.467
2584,78.988
2585,78.869
2586,79.428
2587,78.632
2588,77.232
2589,80.328
2590,79.682
2591,79.294
2592,80.934
2594,79.023
2595,79.776
2597,82.287
2645,80.36
2654,79.31
2655,79.982
2656,79.401
2657,82.296
2658,76.96
2659,77.147
2660,79.293
2741,77.741
2766,80.282
2793,81.202
2810,76.743
2824,79.329
3002,77.553
3021,78.969
3093,79.362
3105,76.089
3113,77.487
3118,81.918
3120,78.561
3122,79.645
3123,78.755
3133,79.46
3134,81.567
3135,82.329
3136,81.187
3137,79.073
3138,77.305
3139,78.08
3140,78.534
3141,80.526
3142,79.479
3143,78.928
3144,77.135
3145,76.188
3146,78.098
3147,79.642
