index,CV Google Score
1,85.607
2,80.387
3,88.592
4,84.062
5,75.695
6,78.918
7,80.142
8,84.935
9,85.053
10,86.066
11,84.459
12,83.081
13,82.662
14,85.679
15,84.105
16,87.108
17,79.368
18,83.382
19,85.009
20,82.609
21,79.827
22,85.324
23,83.727
24,87.042
25,78.692
26,83.087
27,82.654
28,86.075
29,86.191
30,81.668
31,87.077
32,82.627
33,83.261
34,78.797
35,82.841
36,79.675
37,82.577
38,79.886
39,82.571
40,77.57
41,86.484
42,80.69
43,87.981
44,81.609
45,81.615
46,84.596
47,83.571
48,73.817
49,83.329
50,84.129
51,84.674
52,84.625
53,80.084
54,85.056
55,82.836
56,79.681
57,84.292
58,81.261
59,84.961
60,77.579
61,82.232
62,83.246
63,82.117
64,81.692
65,78.108
66,82.25
67,84.56
68,84.246
69,83.956
70,84.602
71,80.974
72,80.413
73,85.313
74,82.471
75,78.463
76,81.584
77,82.555
78,83.98
79,73.889
80,88.364
81,86.75
82,79.832
83,85.502
84,82.462
85,82.631
86,85.939
87,82.061
88,85.222
89,88.823
90,87.583
91,83.225
92,81.363
93,82.249
94,81.833
95,73.533
96,87.519
97,76.75
98,87.754
99,85.555
100,86.855
101,83.706
102,85.005
103,82.49
104,83.708
105,82.041
106,81.688
107,81.223
108,80.601
109,80.849
110,72.668
111,78.467
112,85.583
113,83.245
114,79.247
115,82.03
116,83.671
117,79.956
118,79.246
119,82.727
120,81.542
121,79.444
122,80.437
123,80.49
124,81.789
125,78.138
126,76.536
127,83.241
128,79.438
129,84.6
130,90.052
131,84.736
132,87.179
133,84.329
134,85.626
135,86.282
136,86.358
137,83.453
138,82.217
139,86.529
140,83.016
141,85.368
142,84.611
143,82.442
144,83.149
145,87.268
146,79.643
147,79.699
148,79.741
149,83.39
150,86.857
151,85.508
152,80.952
153,85.129
154,84.02
155,85.132
156,85.263
157,83.929
158,86.34
159,82.621
160,82.062
161,83.826
162,85.299
163,85.22
164,85.561
165,83.743
166,86.003
167,82.188
168,79.86
169,85.741
170,85.207
171,86.491
172,87.613
173,85.742
174,87.112
175,84.956
176,82.709
177,83.823
178,86.808
179,81.653
180,87.385
181,87.97
182,86.441
183,87.08
184,82.205
185,77.64
186,83.155
187,83.17
188,83.451
189,78.482
190,83.958
191,81.24
192,77.11
193,79.087
194,81.672
195,84.542
196,79.653
197,85.538
198,85.989
199,86.918
200,82.961
201,85.214
202,84.654
203,82.567
204,83.196
205,80.836
206,78.332
207,86.919
208,87.198
209,85.632
210,83.731
211,84.831
212,77.17
213,82.181
214,81.207
215,76.337
216,83.587
217,79.388
218,75.972
219,85.634
220,81.38
221,81.094
222,80.936
223,83.133
224,78.308
225,82.974
226,80.833
227,86.564
228,86.826
229,83.927
230,86.44
231,81.774
232,81.3
233,82.14
234,83.115
235,82.37
236,84.188
237,87.857
238,86.181
239,85.374
240,87.118
241,84.314
242,80.418
243,83.591
244,79.137
245,84.887
246,82.881
247,82.922
248,79.112
249,82.617
250,81.374
251,84.019
252,85.866
253,87.614
254,82.021
255,82.078
256,80.384
257,80.152
258,78.111
259,82.964
260,84.91
261,81.074
262,81.528
263,81.63
264,77.629
265,75.679
266,79.02
267,78.58
268,81.233
269,76.937
270,85.506
271,80.068
272,76.015
273,78.27
274,79.983
275,77.33
276,79.056
277,78.581
278,78.483
279,76.723
280,80.498
281,82.238
282,78.624
283,80.396
284,80.348
285,80.267
286,79.809
287,81.064
288,80.975
289,78.027
290,82.107
291,81.991
292,82.343
293,76.605
294,80.147
295,78.465
296,76.12
297,79.06
298,81.938
299,75.744
300,79.724
301,73.845
302,78.372
303,79.407
304,77.727
305,77.822
306,82.142
307,75.728
308,78.794
309,78.464
310,80.491
311,79.688
312,80.379
313,78.942
314,80.629
315,78.61
316,78.194
317,78.839
318,79.575
319,79.509
320,79.781
321,74.758
322,78.151
323,75.4
324,79.055
325,80.919
326,79.202
327,79.382
328,77.496
329,72.477
330,77.704
331,81.213
332,80.855
333,75.497
334,81.575
335,80.167
336,78.688
337,80.252
338,77.014
339,75.209
340,77.844
341,75.78
342,78.733
343,80.363
344,79.295
345,79.611
346,81.642
347,80.805
348,77.834
349,81.424
350,80.203
351,81.409
352,79.562
353,77.132
354,79.93
355,76.5
356,77.199
357,79.191
358,81.494
359,78.563
360,75.051
361,80.692
362,79.431
363,74.311
364,76.781
365,80.647
366,75.594
367,80.759
368,77.849
369,79.661
370,78.438
371,76.9
372,77.048
373,81.076
374,76.391
375,78.341
376,79.18
377,78.079
378,79.674
379,81.499
380,78.86
381,83.181
382,76.643
383,79.018
384,80.869
385,80.894
386,78.027
387,76.513
388,75.188
389,74.666
390,79.584
391,81.883
392,78.945
393,78.3
394,75.854
395,77.259
396,80.76
397,80.319
398,80.943
399,78.638
400,82.379
401,81.438
402,75.972
403,80.977
404,77.812
405,79.613
406,79.776
407,81.306
408,78.186
409,78.228
410,82.424
411,78.471
412,75.032
413,81.119
414,81.386
415,79.787
416,80.705
417,79.98
418,80.412
419,80.65
420,83.012
421,79.038
422,77.026
423,79.673
424,81.276
425,81.462
426,81.473
427,77.769
428,79.154
429,79.819
430,82.157
431,81.701
432,74.878
433,79.852
434,80.05
435,77.576
436,77.298
437,82.0
438,80.273
439,78.393
440,82.566
441,82.421
442,76.882
443,77.065
444,69.513
445,78.215
446,75.92
447,79.613
448,79.964
449,80.899
450,84.434
451,77.599
452,80.355
453,79.228
454,79.474
455,82.117
456,78.181
457,80.459
458,80.171
459,79.507
460,78.064
461,77.795
462,80.856
463,80.413
464,78.906
465,83.941
466,79.317
467,80.622
468,79.936
469,79.961
470,75.786
471,75.877
472,76.616
473,79.374
474,83.661
475,80.638
476,79.775
477,82.962
478,81.955
479,76.9
480,80.952
481,78.854
482,78.748
483,76.09
484,78.678
485,80.907
486,79.192
487,77.455
488,77.143
489,79.141
490,78.756
491,78.298
492,77.372
493,74.25
494,74.963
495,79.369
496,80.424
497,78.253
498,77.913
499,79.897
500,76.537
501,80.94
502,80.409
503,77.43
504,78.203
505,77.422
506,79.132
507,79.749
508,78.921
509,79.322
510,78.35
511,80.974
512,78.869
513,81.159
514,80.681
515,77.292
516,76.429
517,77.233
518,80.054
519,78.71
520,83.02
