,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview Google Score
6018,85.196
6021,83.812
6026,88.783
9479,87.238
16980,78.925
17014,80.749
18230,86.701
18348,87.731
26715,85.439
26747,87.245
29788,85.406
29835,84.602
30606,86.473
30845,86.787
32072,86.861
46443,88.045
46506,83.804
50300,83.204
51419,86.851
53971,85.354
53972,82.296
53973,87.345
53974,84.658
53975,85.66
53976,84.036
53977,84.983
53978,86.656
53979,87.979
53981,86.631
54796,83.067
54797,88.801
54798,85.255
54799,85.657
54800,80.538
56453,84.377
56528,82.002
56542,82.904
56543,84.348
56544,85.906
56545,82.984
56618,85.521
56619,82.058
56629,87.014
56630,85.803
56631,87.524
56632,87.05
56633,84.234
56634,81.104
56635,86.525
56637,83.334
56638,87.522
56639,85.435
56641,80.882
56642,83.323
56643,83.173
56644,81.98
56645,85.888
56646,81.411
56647,83.291
56648,78.493
56649,83.494
56650,82.943
56651,79.587
56652,85.121
56653,80.986
56654,84.593
56656,84.437
56657,87.195
56661,85.455
56662,86.061
56725,82.274
56795,82.294
56796,85.855
56797,85.718
56798,82.689
56799,82.758
56800,82.915
56801,84.933
56802,81.275
56803,89.243
56804,88.018
56805,82.739
56807,87.782
56809,85.713
56859,80.047
56860,87.993
56861,85.302
56862,86.953
57384,88.957
57400,90.011
62042,84.322
63086,82.868
63087,83.331
83710,85.295
83711,81.004
86666,85.466
87779,80.742
97622,88.634
98134,88.215
98135,86.706
98136,87.476
98137,86.622
98138,86.74
98171,86.379
98172,84.751
98173,84.809
98245,85.193
98250,81.796
98251,85.237
98252,76.368
98253,85.301
98254,86.47
98255,85.877
98256,84.633
98257,87.107
98258,83.669
98259,83.779
98260,81.032
98261,85.351
98262,87.226
98263,87.1
98264,83.809
98265,87.339
98266,85.707
98267,82.815
98268,84.455
98269,87.982
98270,83.292
98271,85.807
98272,91.72
98273,86.324
98274,89.612
98275,85.393
98276,85.254
98277,89.643
98278,88.044
98279,87.237
98280,85.255
98281,88.84
98282,86.362
98283,87.373
98284,85.991
98285,84.984
98286,81.791
98287,86.641
98288,83.335
98289,85.027
98290,83.252
98291,85.427
98292,89.285
98293,86.599
98294,83.671
98295,87.062
98296,86.924
98297,85.647
98298,86.0
98299,87.119
98300,87.864
98301,84.26
98302,85.821
98303,85.735
98304,86.379
98305,87.529
98306,88.094
98307,87.227
98308,84.792
98309,82.602
98310,84.058
98311,86.941
98312,85.414
98313,89.479
98314,88.832
98315,86.11
98316,86.431
98317,84.39
98318,86.303
98319,87.085
98320,88.587
98321,87.295
98322,89.088
98323,88.11
98324,86.211
98325,88.127
98326,87.179
98327,85.659
98328,84.577
98329,84.964
98330,83.861
98331,82.758
98332,83.747
98333,84.544
98334,81.114
98335,84.924
98336,81.961
98337,86.088
98338,84.73
98339,86.952
98340,86.824
98341,87.754
98342,87.06
98343,85.383
98344,87.682
98345,84.287
98346,84.784
98347,83.691
98348,82.55
98349,87.117
98350,87.544
98351,84.03
98352,86.686
98353,83.344
98354,77.654
98355,85.32
98356,83.979
98357,80.021
98358,84.728
98359,85.054
98360,82.009
98361,87.289
98362,89.345
98363,88.006
98364,84.292
98365,86.748
98366,83.893
98367,83.498
98368,85.036
98369,90.6
98370,87.782
98371,85.305
98372,87.882
98373,84.153
98374,83.845
98375,86.852
98376,85.057
98377,86.197
98378,87.398
98379,88.062
98380,88.129
98381,85.031
98382,87.327
98383,85.899
98384,85.883
98385,87.176
98386,82.683
98387,84.011
98388,85.965
98389,86.729
98390,86.251
98391,85.915
98392,86.229
98393,86.235
98394,88.148
98395,89.576
98396,86.37
98397,86.96
98398,84.91
98399,82.599
98400,82.592
98401,83.698
98402,86.045
1747,82.45
1784,79.706
2476,81.211
2515,81.703
2517,79.504
2529,79.72
2538,79.425
2551,81.981
2553,77.687
2554,84.706
2555,80.544
2556,81.323
2577,80.844
2582,79.726
2583,78.997
2584,81.021
2585,80.012
2586,79.549
2587,80.013
2588,77.532
2589,80.867
2590,79.375
2591,80.229
2592,80.901
2594,79.998
2595,80.518
2597,82.802
2645,80.396
2654,79.356
2655,79.484
2656,79.76
2657,83.939
2658,79.02
2659,80.154
2660,80.215
2741,75.777
2766,81.096
2793,81.968
2810,77.674
2824,80.222
3002,79.887
3021,79.409
3093,79.862
3105,78.685
3113,79.687
3118,84.306
3120,80.745
3122,79.823
3123,82.04
3133,81.435
3134,80.541
3135,78.767
3136,82.743
3137,79.555
3138,78.253
3139,79.688
3140,80.826
3141,82.879
3142,81.718
3143,79.947
3144,80.906
3145,78.359
3146,80.406
3147,80.59
3148,81.197
3149,80.095
3150,80.594
3153,79.82
3155,76.579
3156,80.778
3157,80.739
3158,79.794
3159,76.789
3160,82.532
3161,82.0
3162,80.539
3186,79.948
3225,80.526
3315,80.058
3321,79.783
3332,82.08
5877,80.775
5981,82.513
6043,78.79
6078,81.886
6081,82.755
6082,82.409
6090,78.083
6127,83.127
6211,79.419
6213,81.921
6214,81.504
6231,78.964
6232,82.315
6233,79.926
6239,79.158
6240,77.852
6254,83.587
6255,78.786
6342,76.671
7630,82.318
7654,77.174
8890,83.807
8916,77.404
9028,79.091
9066,79.53
9445,80.585
9542,81.367
9546,79.274
9547,79.759
9583,78.449
9587,79.273
12037,82.676
12116,80.074
12122,80.64
12124,78.312
12141,80.152
12143,79.599
12149,81.807
12161,80.609
12252,81.645
12408,78.528
12409,78.618
12410,81.643
12418,81.006
12422,78.494
12435,78.087
12436,78.682
12437,78.905
12447,81.819
12448,82.337
12449,80.602
12450,80.14
12451,79.183
12452,81.116
12453,81.463
12454,80.63
12455,79.246
12456,80.388
12457,82.454
12458,85.0
12459,77.762
12460,79.897
12461,79.691
12462,81.266
12463,82.934
12464,81.881
12465,79.816
12466,80.137
12467,83.892
12468,79.525
12469,78.862
12470,84.327
12471,81.063
12472,83.482
12473,81.956
12474,81.35
12475,79.708
12476,81.94
12477,85.53
12478,83.925
12479,81.323
12480,79.571
12481,83.456
12482,83.137
12483,80.977
12484,79.259
12485,83.501
12486,80.303
12487,80.911
12488,82.628
12489,78.242
12490,79.939
12491,81.443
12492,80.215
12493,79.808
12494,80.239
12495,82.465
12496,80.34
12497,83.273
12498,82.542
12499,77.718
12500,77.799
12501,75.923
12502,80.704
12503,79.416
12504,76.641
12505,79.771
12506,81.014
12507,81.53
12508,77.189
12509,80.972
12510,80.786
12511,80.954
12512,81.766
12513,77.711
12514,82.238
12515,81.76
12516,80.331
12518,81.332
12519,77.623
12520,81.158
12521,80.377
12523,81.582
12525,86.835
12526,80.917
12527,83.143
12528,82.076
12529,79.112
12530,77.037
12531,80.216
12532,78.452
12533,80.83
12565,82.585
12656,80.234
12674,81.096
12687,82.079
12736,81.686
13078,76.062
13080,82.057
13146,81.004
13147,80.166
13148,78.069
13149,79.78
13150,80.817
13196,79.699
13382,80.404
13461,77.804
13475,81.5
13477,81.124
13537,82.621
13893,79.23
13897,75.005
14744,77.394
14862,79.927
14882,82.01
14890,83.818
14906,79.61
14907,80.679
14914,76.208
14916,79.189
14930,83.082
14932,78.65
14939,78.72
14947,80.127
15180,78.69
15240,79.452
15339,82.159
15419,78.177
15425,80.189
15426,82.614
15474,81.569
15519,81.853
15524,81.254
15589,78.363
15679,79.483
15743,78.138
16036,80.984
16039,78.653
16064,83.664
