,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview Google Score
6018,69.789
6021,85.421
6026,86.768
9479,84.899
16980,78.856
17014,79.922
18230,85.635
18348,88.094
26715,84.976
26747,87.579
29788,86.271
29835,84.688
30606,69.789
30845,86.682
32072,86.809
46443,86.352
46506,82.141
50300,84.461
51419,88.392
53971,69.789
53972,85.367
53973,86.035
53974,85.693
53975,87.149
53976,82.633
53977,84.177
53978,85.935
53979,88.285
53981,86.171
54796,85.818
54797,88.428
54798,84.078
54799,85.31
54800,81.934
56453,85.072
56528,81.363
56542,69.789
56543,83.183
56544,86.497
56545,81.299
56618,86.694
56619,82.482
56629,89.604
56630,86.064
56631,69.789
56632,69.789
56633,85.25
56634,84.216
56635,85.311
56637,84.794
56638,88.61
56639,86.314
56641,82.854
56642,69.789
56643,84.58
56644,81.719
56645,69.789
56646,79.987
56647,83.411
56648,81.609
56649,69.789
56650,82.918
56651,85.512
56652,69.789
56653,81.203
56654,83.519
56656,85.511
56657,88.246
56661,85.69
56662,87.089
56725,83.754
56795,82.574
56796,69.789
56797,86.569
56798,82.599
56799,83.433
56800,81.103
56801,87.214
56802,69.789
56803,86.416
56804,89.551
56805,82.894
56807,89.109
56809,86.61
56859,83.436
56860,69.789
56861,84.434
56862,88.655
57384,87.169
57400,89.506
62042,84.094
63086,81.392
63087,69.789
83710,86.374
83711,75.492
86666,88.029
87779,78.285
97622,88.817
98134,86.119
98135,88.513
98136,86.734
98137,86.703
98138,85.894
98171,86.512
98172,86.435
98173,85.92
98245,87.288
98250,81.906
98251,82.956
98252,74.953
98253,84.155
98254,69.789
98255,87.91
98256,84.204
98257,88.174
98258,69.789
98259,69.789
98260,69.789
98261,69.789
98262,88.777
98263,87.361
98264,84.087
98265,88.578
98266,82.756
98267,80.788
98268,81.387
98269,87.173
98270,69.789
98271,85.65
98272,90.569
98273,85.232
98274,69.789
98275,86.705
98276,87.605
98277,89.107
98278,87.616
98279,87.421
98280,86.819
98281,87.995
98282,86.08
98283,69.789
98284,87.183
98285,84.721
98286,69.789
98287,88.65
98288,80.317
98289,83.526
98290,82.805
98291,69.789
98292,69.789
98293,86.314
98294,84.223
98295,69.789
98296,86.622
98297,85.803
98298,86.189
98299,87.835
98300,88.133
98301,69.789
98302,69.789
98303,85.782
98304,87.6
98305,87.934
98306,87.192
98307,88.04
98308,85.115
98309,85.418
98310,69.789
98311,85.691
98312,87.267
98313,88.331
98314,89.09
98315,86.012
98316,88.603
98317,84.307
98318,86.847
98319,86.644
98320,88.821
98321,69.789
98322,88.029
98323,88.468
98324,86.918
98325,88.014
98326,85.252
98327,86.475
98328,87.696
98329,85.828
98330,69.789
98331,69.789
98332,69.789
98333,84.91
98334,82.414
