,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview Google Score
6018,86.973
6021,83.615
6026,87.111
9479,85.104
16980,78.741
17014,79.629
18230,86.672
18348,86.334
26715,85.819
26747,87.882
29788,84.532
29835,85.344
30606,89.024
30845,86.945
32072,86.133
46443,87.854
46506,84.026
50300,83.817
51419,87.302
53971,86.476
53972,83.531
53973,86.736
53974,85.794
53975,86.228
53976,83.471
53977,84.517
53978,86.695
53979,88.152
53981,86.264
54796,85.606
54797,88.052
54798,85.654
54799,84.643
54800,80.665
56453,84.222
56528,79.945
56542,85.322
56543,84.513
56544,85.464
56545,82.237
56618,85.568
56619,83.131
56629,87.737
56630,85.588
56631,84.419
56632,86.972
56633,85.392
56634,83.686
56635,85.692
56637,85.598
56638,87.961
56639,85.957
56641,83.518
56642,82.169
56643,83.123
56644,82.26
56645,87.413
56646,80.751
56647,87.107
56648,79.07
56649,84.3
56650,83.512
56651,85.815
56652,84.392
56653,80.692
56654,82.952
56656,82.665
56657,88.421
56661,84.186
56662,87.682
56725,84.295
56795,82.009
56796,86.486
56797,86.074
56798,81.558
56799,82.214
56800,82.539
56801,85.437
56802,81.339
56803,88.427
56804,88.952
56805,81.29
56807,90.481
56809,85.258
56859,81.587
56860,87.739
56861,85.476
56862,89.974
57384,89.144
57400,88.661
62042,84.289
63086,83.081
63087,82.541
83710,87.018
83711,80.761
86666,88.931
87779,79.5
97622,90.005
98134,86.608
98135,89.369
98136,87.835
98137,85.908
98138,84.282
98171,85.384
98172,85.386
98173,86.022
98245,87.354
98250,83.227
98251,84.496
98252,75.813
98253,83.247
98254,85.876
98255,86.854
98256,83.404
98257,86.909
98258,83.889
98259,82.297
98260,82.93
98261,85.593
98262,88.448
98263,88.108
98264,85.194
98265,83.757
98266,86.305
98267,81.313
98268,80.747
98269,87.627
98270,87.595
98271,84.193
98272,90.279
98273,85.648
98274,88.091
98275,86.011
98276,86.702
98277,89.792
98278,86.838
98279,88.94
98280,85.561
98281,89.272
98282,87.108
98283,88.52
98284,85.662
98285,84.657
98286,83.613
98287,88.228
98288,79.841
98289,83.671
98290,83.646
98291,87.719
98292,88.952
98293,87.433
98294,84.983
98295,86.964
98296,85.964
98297,87.298
98298,87.96
98299,87.414
98300,88.862
98301,85.908
98302,87.608
98303,86.127
98304,88.134
98305,87.834
98306,88.232
98307,87.3
98308,85.087
98309,81.843
98310,85.034
98311,86.918
98312,88.003
98313,89.572
98314,88.892
98315,86.461
98316,88.556
98317,85.57
98318,86.414
98319,87.593
98320,88.439
98321,86.442
98322,88.607
98323,88.123
98324,87.1
98325,88.656
98326,86.161
98327,86.451
98328,89.27
98329,83.618
98330,85.705
98331,84.73
98332,84.081
98333,82.781
98334,82.539
98335,84.326
98336,79.927
98337,85.702
98338,79.201
98339,86.251
98340,87.295
98341,89.431
98342,86.446
98343,85.867
98344,86.691
98345,85.028
98346,85.691
98347,83.18
98348,82.115
98349,88.373
98350,87.925
98351,86.099
98352,84.508
98353,83.96
98354,79.763
98355,83.495
98356,85.044
98357,79.914
98358,87.281
98359,84.019
98360,79.505
98361,88.808
98362,88.089
98363,86.027
98364,82.888
98365,84.188
98366,82.08
98367,83.812
98368,83.851
98369,90.051
98370,89.179
98371,88.182
98372,87.318
98373,85.455
98374,87.883
98375,88.746
98376,85.14
98377,87.47
98378,87.909
98379,87.678
98380,87.148
98381,89.03
98382,88.978
98383,85.883
98384,84.821
98385,88.974
98386,85.781
98387,85.844
98388,88.632
98389,84.337
98390,85.749
98391,86.866
98392,86.723
98393,88.63
98394,89.462
98395,90.031
98396,86.52
98397,86.593
98398,84.044
98399,84.203
98400,80.457
98401,84.605
98402,86.718
1747,83.447
1784,81.074
2476,81.357
2515,80.922
2517,76.35
2529,79.234
2538,78.828
2551,83.286
2553,78.82
2554,82.758
2555,80.535
2556,80.971
2577,80.183
2582,80.31
2583,82.397
2584,81.729
2585,79.793
2586,78.985
2587,79.557
2588,78.991
2589,80.86
2590,79.985
2591,81.431
2592,80.68
2594,81.102
2595,80.331
2597,82.266
2645,80.087
2654,78.479
2655,81.093
2656,80.7
2657,83.839
2658,78.086
2659,80.186
2660,79.961
2741,78.312
2766,82.112
2793,80.753
2810,78.054
2824,80.843
3002,78.328
3021,79.48
3093,79.09
3105,78.603
3113,79.65
3118,82.712
3120,78.634
3122,80.63
3123,82.471
3133,81.415
3134,79.001
3135,78.573
3136,82.781
3137,81.386
3138,77.323
3139,79.334
3140,80.778
3141,81.286
3142,80.715
3143,79.427
3144,81.042
3145,77.436
3146,79.101
3147,80.176
3148,79.592
3149,79.865
3150,81.506
3153,79.375
3155,76.435
3156,81.928
3157,81.859
3158,80.162
3159,79.398
3160,81.01
3161,81.586
3162,79.43
3186,79.608
3225,79.829
3315,80.642
3321,77.868
3332,82.128
5877,79.673
5981,81.669
6043,79.186
6078,80.408
6081,81.564
6082,83.569
6090,79.319
6127,82.859
6211,81.613
6213,81.546
6214,81.268
6231,78.031
6232,81.566
6233,79.116
6239,81.153
6240,78.414
6254,82.44
6255,78.697
6342,75.811
7630,83.016
7654,78.607
8890,80.091
8916,78.212
9028,79.044
9066,79.012
9445,80.448
9542,80.7
9546,78.178
9547,80.167
9583,77.134
9587,80.258
12037,83.12
12116,79.66
12122,80.739
12124,78.673
12141,81.163
12143,79.342
12149,80.96
12161,80.706
12252,82.216
12408,77.321
12409,78.811
12410,79.726
12418,81.383
12422,78.635
12435,78.022
12436,79.912
12437,79.333
12447,82.282
12448,81.397
12449,80.424
12450,79.429
12451,77.047
12452,82.197
12453,82.794
12454,80.748
12455,79.614
12456,79.347
12457,82.824
12458,84.323
12459,78.476
12460,81.505
12461,82.726
12462,80.664
12463,82.005
12464,80.879
12465,78.743
12466,79.755
12467,83.566
12468,79.614
12469,79.47
12470,83.486
12471,82.055
12472,84.923
12473,81.799
12474,81.819
12475,80.345
12476,82.329
12477,83.295
12478,82.908
12479,80.643
12480,80.139
12481,83.0
12482,83.739
12483,81.01
12484,79.516
12485,81.004
12486,79.469
12487,81.459
12488,81.455
12489,76.894
12490,80.6
12491,79.654
12492,80.67
12493,80.294
12494,81.313
12495,81.969
12496,80.953
12497,83.414
12498,82.718
12499,77.364
12500,77.193
12501,76.662
12502,79.042
12503,78.042
12504,78.101
12505,81.197
12506,82.137
12507,83.332
12508,79.406
12509,80.791
12510,79.926
12511,81.315
12512,80.934
12513,77.862
12514,81.131
12515,81.603
12516,80.542
12518,80.419
12519,78.866
12520,82.618
12521,80.085
12523,83.655
12525,86.982
12526,82.863
12527,81.951
12528,80.565
12529,80.455
12530,77.676
12531,80.461
12532,79.659
12533,79.033
12565,83.09
12656,80.349
12674,82.588
12687,83.28
12736,81.957
13078,77.317
13080,82.299
13146,81.371
13147,80.778
13148,78.671
13149,79.474
13150,81.689
13196,79.968
13382,79.883
13461,78.502
13475,82.232
13477,81.023
13537,82.578
13893,79.616
13897,77.516
14744,78.073
14862,79.796
14882,82.634
14890,83.217
14906,80.271
14907,79.864
14914,77.061
14916,79.418
14930,82.991
14932,79.204
14939,79.388
14947,78.646
15180,78.946
15240,79.947
15339,81.699
15419,79.871
15425,78.847
15426,80.777
15474,81.912
15519,80.284
15524,81.054
15589,76.749
15679,79.155
15743,77.452
16036,80.099
16039,78.542
16064,81.599
