,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5 Google Score
6018,86.958
6021,81.746
6026,86.102
9479,87.222
16980,79.099
17014,77.997
18230,83.85
18348,84.705
26715,84.747
26747,83.937
29788,85.67
29835,83.605
30606,85.225
30845,87.514
32072,86.106
46443,87.447
46506,83.432
50300,84.036
51419,87.714
53971,84.453
53972,83.713
53973,85.894
53974,86.002
53975,86.109
53976,81.643
53977,83.219
53978,85.275
53979,87.192
53981,85.972
54796,83.156
54797,87.438
54798,84.411
54799,83.353
54800,80.559
56453,84.487
56528,78.841
56542,83.243
56543,83.09
56544,84.188
56545,81.361
56618,86.433
56619,82.632
56629,87.121
56630,83.35
56631,85.277
56632,87.432
56633,84.543
56634,81.87
56635,86.272
56637,83.37
56638,86.569
56639,87.315
56641,80.376
56642,83.35
56643,84.696
56644,81.708
56645,85.509
56646,80.424
56647,84.659
56648,79.29
56649,81.545
56650,82.807
56651,86.157
56652,85.277
56653,79.816
56654,82.91
56656,84.406
56657,86.388
56661,84.4
56662,85.727
56725,83.557
56795,80.723
56796,86.122
56797,85.762
56798,81.867
56799,81.684
56800,82.069
56801,85.966
56802,80.916
56803,86.816
56804,87.977
56805,82.736
56807,87.214
56809,85.313
56859,83.67
56860,87.782
56861,83.571
56862,86.658
57384,85.568
57400,86.666
62042,85.301
63086,81.843
63087,83.616
83710,85.391
83711,80.005
86666,84.191
87779,82.055
97622,87.564
98134,85.996
98135,87.358
98136,85.403
98137,85.218
98138,82.704
98171,85.344
98172,82.17
98173,84.36
98245,80.501
98250,82.451
98251,82.567
98252,77.973
98253,82.057
98254,85.308
98255,86.388
98256,80.238
98257,85.822
98258,84.58
98259,81.447
98260,81.214
98261,84.965
98262,83.388
98263,82.971
98264,82.871
98265,81.611
98266,82.951
98267,79.457
98268,80.288
98269,85.862
98270,82.668
98271,83.428
98272,87.549
98273,83.744
98274,86.766
98275,85.174
98276,86.574
98277,87.223
98278,86.853
98279,88.631
98280,86.724
98281,87.899
98282,84.488
98283,87.72
98284,86.945
98285,83.025
98286,85.319
98287,86.63
98288,81.824
98289,80.919
98290,78.53
98291,87.104
98292,86.678
98293,87.1
98294,82.657
98295,86.768
98296,83.443
98297,86.098
98298,85.948
98299,87.219
98300,88.192
98301,85.247
98302,86.95
98303,85.502
98304,86.843
98305,83.645
98306,86.475
98307,85.492
98308,83.907
98309,82.824
98310,84.275
98311,86.913
98312,87.367
98313,86.111
98314,88.746
98315,86.404
98316,87.246
98317,86.874
98318,84.74
98319,87.83
98320,87.009
98321,86.467
98322,87.929
98323,88.323
98324,86.724
98325,86.227
98326,81.934
98327,81.211
98328,87.446
98329,84.588
98330,82.121
98331,80.264
98332,83.508
98333,85.262
98334,81.35
98335,83.229
98336,79.753
98337,83.997
98338,82.148
98339,84.512
98340,86.325
98341,88.877
98342,85.801
98343,83.377
98344,87.067
98345,84.435
98346,85.697
98347,84.869
98348,79.263
98349,87.302
98350,87.821
98351,87.12
98352,85.047
98353,85.436
98354,79.864
98355,83.557
98356,86.148
98357,78.776
98358,86.675
98359,81.182
98360,76.329
98361,85.621
98362,82.939
98363,82.363
98364,81.75
98365,85.084
98366,78.793
98367,82.371
98368,81.274
98369,88.15
98370,88.057
98371,86.627
98372,86.512
98373,80.001
98374,86.862
98375,83.717
98376,82.8
98377,84.54
98378,85.775
98379,88.068
98380,86.881
98381,81.844
98382,88.104
98383,85.118
98384,81.256
98385,83.966
98386,83.035
98387,87.21
98388,87.459
98389,85.63
98390,82.226
98391,86.022
98392,84.011
98393,84.361
98394,86.031
98395,87.996
98396,85.624
98397,84.983
98398,85.212
98399,83.87
98400,81.277
98401,82.623
98402,86.445
1747,81.772
1784,80.567
2476,79.6
2515,79.592
2517,78.685
2529,79.915
2538,79.494
2551,82.73
2553,77.872
2554,85.545
2555,80.314
2556,79.379
2577,79.693
2582,81.414
2583,79.895
2584,80.46
2585,78.823
2586,79.56
2587,78.04
2588,79.221
2589,79.964
2590,79.243
2591,80.49
2592,80.338
2594,79.131
2595,79.784
2597,82.777
2645,80.025
2654,78.375
2655,80.08
2656,78.904
2657,81.078
2658,77.92
2659,80.159
2660,79.448
2741,78.418
2766,80.63
2793,80.634
2810,77.074
2824,79.232
3002,78.5
3021,79.141
3093,80.751
3105,76.695
3113,79.022
3118,82.747
3120,78.063
3122,78.645
3123,80.53
3133,80.442
3134,80.188
3135,82.022
3136,81.737
3137,80.074
3138,79.285
3139,79.363
3140,79.212
3141,80.352
3142,79.211
3143,78.534
3144,77.122
3145,77.529
3146,77.466
3147,79.876
3148,78.74
3149,80.051
3150,80.257
3153,80.032
3155,77.938
3156,80.115
3157,79.632
3158,78.288
3159,77.651
3160,81.258
3161,79.864
3162,79.735
3186,80.985
3225,78.562
3315,77.454
3321,78.105
3332,78.337
5877,78.806
5981,79.49
6043,80.178
6078,79.566
6081,82.628
6082,82.055
6090,78.57
6127,83.555
6211,78.57
6213,81.959
6214,78.535
6231,77.613
6232,80.33
6233,80.202
6239,79.111
6240,78.322
6254,82.11
6255,78.151
6342,75.653
7630,81.265
7654,77.104
8890,78.99
8916,76.73
9028,80.048
9066,78.652
9445,79.821
9542,79.914
9546,78.584
9547,79.643
9583,77.395
9587,76.539
12037,81.731
12116,76.888
12122,81.219
12124,78.909
12141,78.978
12143,81.473
12149,79.863
12161,78.235
12252,81.919
12408,77.2
12409,77.984
12410,82.733
12418,79.455
12422,78.605
12435,77.362
12436,77.351
12437,80.224
12447,82.258
12448,81.929
12449,79.524
12450,78.376
12451,78.485
12452,79.961
12453,79.155
12454,79.478
12455,80.652
12456,79.576
12457,80.501
12458,80.504
12459,78.994
12460,81.104
12461,80.211
12462,79.317
12463,81.397
12464,82.718
12465,79.429
12466,80.33
12467,80.512
12468,77.905
12469,77.526
12470,84.444
12471,79.434
12472,82.127
12473,78.776
12474,81.015
12475,79.671
12476,80.542
12477,80.159
12478,82.374
12479,79.51
12480,79.988
12481,76.577
12482,82.662
12483,79.089
12484,78.19
12485,77.93
12486,77.45
12487,81.109
12488,78.956
12489,76.234
12490,78.508
12491,79.034
12492,81.327
12493,79.275
12494,80.239
12495,82.295
12496,78.116
12497,83.839
12498,80.603
12499,78.24
12500,77.839
12501,75.734
12502,78.216
12503,75.571
12504,78.837
12505,80.392
12506,81.532
12507,79.439
12508,76.288
12509,77.909
12510,78.719
12511,79.204
12512,79.544
12513,77.7
12514,82.903
12515,80.107
12516,80.087
12518,80.691
12519,78.501
12520,80.259
12521,81.52
12523,82.735
12525,85.419
12526,80.681
12527,81.922
12528,79.904
12529,78.715
12530,76.951
12531,77.41
12532,78.379
12533,78.432
12565,81.122
12656,80.17
12674,81.476
12687,82.457
12736,80.288
13078,74.302
13080,79.433
13146,81.066
13147,79.711
13148,79.108
13149,79.842
13150,79.725
13196,79.655
13382,79.93
13461,77.062
13475,79.804
13477,76.537
13537,80.78
13893,78.017
13897,77.169
14744,76.767
14862,81.765
14882,82.293
14890,81.831
14906,78.391
14907,79.795
14914,78.862
14916,78.126
14930,81.555
14932,77.883
14939,77.758
14947,79.116
15180,79.22
15240,78.607
15339,80.259
15419,77.684
15425,78.792
15426,81.829
15474,81.442
15519,81.072
15524,81.556
15589,76.724
15679,77.437
15743,77.825
16036,81.933
16039,79.75
16064,82.004
