,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5 Google Score
6018,86.136
6021,81.623
6026,87.146
9479,86.509
16980,76.978
17014,78.64
18230,82.143
18348,85.8
26715,83.342
26747,83.661
29788,83.536
29835,83.696
30606,83.014
30845,85.352
32072,86.03
46443,85.238
46506,82.539
50300,82.657
51419,87.938
53971,84.872
53972,84.07
53973,85.889
53974,84.245
53975,85.189
53976,82.799
53977,82.661
53978,85.21
53979,87.603
53981,84.942
54796,84.726
54797,86.212
54798,83.437
54799,83.904
54800,80.76
56453,84.469
56528,80.381
56542,81.691
56543,82.146
56544,84.48
56545,81.565
56618,86.334
56619,81.728
56629,87.681
56630,83.571
56631,86.116
56632,85.681
56633,83.567
56634,82.507
56635,85.597
56637,81.924
56638,86.289
56639,85.977
56641,81.407
56642,83.868
56643,84.037
56644,80.841
56645,85.604
56646,79.814
56647,84.587
56648,77.398
56649,82.633
56650,83.083
56651,85.171
56652,85.485
56653,80.438
56654,81.61
56656,85.894
56657,86.493
56661,85.134
56662,86.627
56725,81.706
56795,80.982
56796,84.382
56797,83.924
56798,81.043
56799,81.913
56800,82.363
56801,85.145
56802,81.594
56803,88.533
56804,87.853
56805,82.116
56807,86.301
56809,85.06
56859,81.999
56860,85.211
56861,83.474
56862,86.368
57384,88.302
57400,85.797
62042,83.876
63086,83.404
63087,83.568
83710,84.845
83711,78.193
86666,86.123
87779,81.992
97622,87.626
98134,85.842
98135,86.786
98136,86.727
98137,83.341
98138,84.676
98171,86.046
98172,82.195
98173,84.49
98245,81.41
98250,84.094
98251,85.279
98252,76.389
98253,85.151
98254,85.265
98255,87.332
98256,85.248
98257,83.721
98258,82.441
98259,83.296
98260,82.798
98261,86.001
98262,85.233
98263,87.115
98264,83.55
98265,83.194
98266,83.959
98267,78.969
98268,80.615
98269,87.263
98270,84.051
98271,84.63
98272,88.932
98273,85.041
98274,87.851
98275,85.034
98276,86.282
98277,87.441
98278,86.898
98279,86.001
98280,84.766
98281,86.013
98282,85.304
98283,85.657
98284,85.994
98285,83.422
98286,85.134
98287,86.936
98288,80.257
98289,84.178
98290,79.517
98291,86.688
98292,85.577
98293,86.705
98294,84.805
98295,86.539
98296,82.974
98297,86.799
98298,85.791
98299,85.72
98300,85.018
98301,84.476
98302,86.051
98303,84.812
98304,84.372
98305,87.272
98306,87.042
98307,85.836
98308,83.115
98309,82.596
98310,84.296
98311,85.92
98312,85.574
98313,87.015
98314,88.401
98315,85.798
98316,87.52
98317,83.3
98318,85.997
98319,85.681
98320,87.667
98321,82.201
98322,87.141
98323,86.992
98324,85.212
98325,85.123
98326,82.029
98327,81.73
98328,87.457
98329,85.627
98330,85.632
98331,86.139
98332,81.459
98333,83.22
98334,82.539
98335,82.317
98336,81.475
98337,84.515
98338,82.056
98339,84.573
98340,87.663
98341,86.719
98342,86.143
98343,84.567
98344,86.688
98345,85.158
98346,85.929
98347,81.037
98348,82.168
98349,87.783
98350,87.738
98351,83.769
98352,83.682
98353,82.136
98354,79.677
98355,83.137
98356,85.486
98357,79.35
98358,86.656
98359,82.879
98360,77.934
98361,86.15
98362,87.716
98363,85.8
98364,84.272
98365,84.489
98366,81.502
98367,83.126
98368,81.886
98369,86.042
98370,88.167
98371,85.567
98372,86.395
98373,86.389
98374,85.402
98375,85.415
98376,83.185
98377,84.742
98378,85.715
98379,87.793
98380,85.981
98381,83.501
98382,87.73
98383,84.012
98384,84.883
98385,85.606
98386,81.154
98387,86.384
98388,86.032
98389,85.832
98390,85.368
98391,84.303
98392,85.379
98393,83.666
98394,84.364
98395,87.808
98396,84.19
98397,86.246
98398,83.363
98399,85.005
98400,80.323
98401,83.897
98402,85.052
1747,81.551
1784,81.981
