,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5 Google Score
6018,86.906
6021,82.38
6026,86.162
9479,87.597
16980,77.506
17014,79.487
18230,85.591
18348,85.449
26715,84.055
26747,87.776
29788,83.681
29835,82.734
30606,87.87
30845,87.226
32072,86.339
46443,86.333
46506,81.809
50300,82.443
51419,88.288
53971,86.031
53972,82.845
53973,86.181
53974,85.332
53975,87.08
53976,80.44
53977,82.743
53978,85.51
53979,86.019
53981,83.685
54796,81.807
54797,87.34
54798,83.762
54799,85.283
54800,81.593
56453,83.926
56528,81.579
56542,82.208
56543,82.992
56544,84.825
56545,82.428
56618,87.003
56619,80.775
56629,87.202
56630,83.709
56631,85.105
56632,85.894
56633,83.329
56634,85.808
56635,85.36
56637,83.961
56638,86.061
56639,85.986
56641,82.45
56642,83.35
56643,82.979
56644,82.818
56645,85.338
56646,80.984
56647,85.258
56648,78.572
56649,82.249
56650,81.834
56651,86.896
56652,84.88
56653,81.822
56654,83.046
56656,83.724
56657,87.294
56661,85.231
56662,86.709
56725,82.815
56795,82.086
56796,84.94
56797,84.349
56798,82.996
56799,81.936
56800,82.057
56801,85.045
56802,81.943
56803,88.925
56804,89.144
56805,82.184
56807,86.772
56809,83.494
56859,83.532
56860,86.322
56861,84.129
56862,86.897
57384,88.353
57400,86.754
62042,83.641
63086,83.406
63087,83.459
83710,84.294
83711,77.657
86666,86.923
87779,80.562
97622,86.928
98134,87.035
98135,87.165
98136,86.103
98137,85.854
98138,85.553
98171,87.317
98172,83.786
98173,87.906
98245,83.601
98250,80.511
98251,83.388
98252,77.615
98253,84.077
98254,87.047
98255,86.357
98256,78.866
98257,87.479
98258,82.985
98259,84.821
98260,80.84
98261,87.131
98262,85.83
98263,81.573
98264,83.699
98265,81.584
98266,86.895
98267,80.695
98268,78.782
98269,86.774
98270,85.611
98271,84.645
98272,90.338
98273,84.933
98274,87.821
98275,85.487
98276,86.15
98277,87.415
98278,86.988
98279,87.199
98280,86.18
98281,88.714
98282,86.522
98283,86.485
98284,86.952
98285,82.225
98286,85.704
98287,87.369
98288,79.898
98289,85.217
98290,83.686
98291,87.031
98292,88.363
98293,87.205
98294,85.259
98295,86.423
98296,86.911
98297,84.712
98298,86.113
98299,86.945
98300,88.194
98301,85.889
98302,85.82
98303,85.337
98304,86.456
98305,88.045
98306,87.371
98307,85.746
98308,84.083
98309,83.495
98310,85.643
98311,87.037
98312,85.859
98313,88.056
98314,89.135
98315,86.213
98316,87.716
98317,86.135
98318,86.146
98319,85.653
98320,87.333
98321,86.778
98322,89.104
98323,87.89
98324,86.275
98325,87.51
98326,84.288
98327,85.669
98328,87.467
98329,85.465
98330,85.796
98331,80.209
98332,80.874
98333,83.855
98334,80.932
98335,82.559
98336,80.424
98337,86.117
98338,83.99
98339,85.576
98340,85.356
98341,87.732
98342,87.177
98343,85.571
98344,87.373
98345,81.582
98346,85.376
98347,84.855
98348,81.263
98349,88.306
98350,88.72
98351,86.205
98352,83.742
98353,85.046
98354,77.556
98355,81.96
98356,85.913
98357,80.36
98358,85.14
98359,80.574
98360,76.999
98361,86.224
98362,87.482
98363,86.409
98364,84.641
98365,84.185
98366,80.886
98367,82.434
98368,82.945
98369,88.989
98370,87.829
98371,86.057
98372,87.741
98373,83.481
98374,86.128
98375,87.603
98376,85.243
98377,84.902
98378,87.097
98379,88.011
98380,86.162
98381,80.673
98382,87.245
98383,85.989
98384,81.154
98385,85.509
98386,85.006
98387,86.998
98388,87.937
98389,86.057
98390,86.15
98391,87.417
98392,83.089
98393,84.64
98394,85.889
98395,89.055
98396,84.824
98397,83.728
98398,86.383
98399,86.217
98400,82.24
98401,82.153
98402,87.654
1747,82.278
1784,79.837
2476,80.174
2515,80.08
2517,78.533
2529,78.857
2538,79.143
2551,82.002
2553,79.054
2554,84.407
2555,80.393
2556,80.045
2577,79.8
2582,79.909
2583,79.811
2584,80.512
2585,78.812
2586,79.405
2587,78.772
2588,77.353
2589,81.152
2590,80.543
2591,81.014
2592,80.957
2594,80.444
2595,78.549
2597,82.448
2645,80.304
2654,80.297
2655,79.394
2656,79.796
2657,80.933
2658,79.449
2659,77.304
2660,79.721
2741,77.516
2766,79.734
2793,80.536
2810,78.872
2824,79.119
3002,79.052
3021,78.911
3093,81.342
3105,79.705
3113,78.101
3118,83.091
3120,77.798
3122,77.64
3123,80.058
3133,79.998
3134,79.884
3135,79.227
3136,81.051
3137,79.373
3138,78.835
3139,77.875
3140,78.612
3141,80.327
3142,80.412
3143,79.191
3144,78.087
3145,78.259
3146,77.573
3147,79.687
3148,80.917
3149,79.295
3150,79.78
3153,80.258
3155,76.704
3156,79.529
3157,79.766
3158,78.912
3159,80.04
3160,82.75
3161,82.68
3162,80.933
3186,81.001
3225,79.356
3315,75.749
3321,77.528
3332,77.108
5877,80.669
5981,81.024
6043,78.289
6078,79.247
6081,81.312
6082,82.447
6090,78.224
6127,82.429
6211,80.097
6213,82.167
6214,79.73
6231,78.943
6232,81.232
6233,80.059
6239,79.544
6240,77.665
6254,81.743
6255,78.655
6342,76.097
7630,80.882
7654,78.487
8890,79.787
8916,77.66
9028,78.75
9066,79.644
9445,79.669
9542,80.748
9546,79.726
9547,79.79
9583,77.905
9587,77.049
12037,81.355
12116,76.922
12122,81.556
12124,78.096
12141,79.293
12143,80.15
12149,80.958
12161,76.594
12252,80.55
12408,78.426
12409,78.617
12410,80.191
12418,80.163
12422,78.521
12435,77.034
12436,77.353
12437,78.416
12447,80.601
12448,79.564
12449,79.213
12450,79.458
12451,76.655
12452,81.303
12453,80.285
12454,78.849
12455,81.271
12456,79.436
12457,81.626
12458,82.105
12459,76.848
12460,80.446
12461,78.683
12462,80.176
12463,82.761
12464,81.244
12465,78.926
12466,78.256
12467,82.565
12468,76.975
12469,77.956
12470,84.595
12471,83.216
12472,82.263
12473,81.469
12474,81.215
12475,79.757
12476,80.249
12477,82.629
12478,81.665
12479,78.228
12480,79.884
12481,81.367
12482,81.936
12483,79.475
12484,78.82
12485,79.78
12486,80.032
12487,80.334
12488,78.831
12489,76.643
12490,80.021
12491,80.69
12492,81.203
12493,78.654
12494,81.169
12495,80.525
12496,79.459
12497,84.679
12498,82.887
12499,77.239
12500,78.432
12501,76.161
12502,79.668
12503,76.321
12504,79.579
12505,79.331
12506,79.913
12507,78.606
12508,77.816
12509,78.331
12510,80.566
12511,79.979
12512,80.565
12513,77.337
12514,81.811
12515,79.983
12516,80.227
12518,78.75
12519,78.2
12520,82.386
12521,80.59
12523,82.332
12525,85.238
12526,81.311
12527,81.49
12528,81.259
12529,78.669
12530,77.84
12531,78.021
12532,77.679
12533,78.257
12565,82.457
12656,79.497
12674,81.21
12687,83.451
12736,81.973
13078,77.082
13080,80.946
13146,78.655
13147,80.037
13148,79.933
13149,78.754
13150,80.851
13196,80.369
13382,80.094
13461,80.528
13475,81.805
13477,79.413
13537,79.258
13893,77.672
13897,76.61
14744,76.423
14862,80.211
14882,81.444
14890,81.516
14906,79.53
14907,79.52
14914,78.048
14916,79.765
14930,82.275
14932,77.554
14939,78.952
14947,79.275
15180,79.357
15240,78.566
15339,79.553
15419,77.201
15425,79.974
15426,81.876
15474,81.206
15519,81.536
15524,80.593
15589,77.739
15679,77.96
15743,77.753
16036,79.37
16039,79.351
16064,82.771
