id,CV_doordash_pm_Score,CV_google_ux_Score,match
6018,0.81972843,0.8420464,1
6021,0.8366944,0.8393103,1
6026,0.8146107,0.89357126,1
9479,0.83632195,0.8915758,1
16980,0.8366052,0.8578857,1
17014,0.6996542,0.76679975,1
18230,0.81689143,0.823526,1
18348,0.8176062,0.89789426,1
26715,0.8056642,0.8276862,1
26747,0.897603,0.88696706,1
29788,0.8390851,0.8660176,1
29835,0.8466531,0.90271384,1
30606,0.771918,0.82136893,1
30845,0.8575687,0.89139396,1
32072,0.88726735,0.8879692,1
46443,0.86540306,0.897422,1
46506,0.70401543,0.77095646,1
50300,0.8785915,0.8818548,1
51419,0.7494608,0.80637556,1
53971,0.7726426,0.80634475,1
53972,0.7750432,0.8202273,1
53973,0.87178874,0.9200014,1
53974,0.81922936,0.88183206,1
53975,0.8485755,0.88424504,1
53976,0.7678846,0.8280685,1
53977,0.8739735,0.89750004,1
53978,0.818787,0.88238174,1
53979,0.8568124,0.89340967,1
53981,0.80299306,0.87299556,1
54796,0.7993674,0.79660195,1
54797,0.8695857,0.89337444,1
54798,0.80559033,0.8623495,1
54799,0.75056404,0.83735955,1
54800,0.76831985,0.83516073,1
56453,0.8227838,0.8676262,1
56528,0.7918203,0.83900297,1
56542,0.8368452,0.91303563,1
56543,0.7593102,0.78725725,1
56544,0.83945763,0.88653797,1
56545,0.7568313,0.7481912,1
56618,0.7934563,0.8507314,1
56619,0.76289135,0.84686893,1
56629,0.8900909,0.9112349,1
56630,0.79755926,0.85836184,1
56631,0.7926491,0.85985625,1
56632,0.87563723,0.9220105,1
56633,0.7962482,0.844704,1
56634,0.74498343,0.80377996,1
56635,0.7303113,0.79852843,1
56637,0.8289921,0.8822423,1
56638,0.8395251,0.87257147,1
56639,0.70545113,0.81270885,1
56641,0.8057692,0.8843533,1
56642,0.79807675,0.8673828,1
56643,0.86503965,0.8410065,1
56644,0.72183263,0.7914114,1
56645,0.81050783,0.8463256,1
56646,0.74620044,0.80502856,1
56647,0.8154922,0.83885753,1
56648,0.86687994,0.8858664,1
56649,0.8127352,0.801724,1
56650,0.8492846,0.9223221,1
56651,0.73110425,0.80286705,1
56652,0.8301041,0.8273554,1
56653,0.73699754,0.7674954,1
56654,0.87811613,0.929392,1
56656,0.8024687,0.8475109,1
56657,0.76825106,0.862515,1
56661,0.8807047,0.91122085,1
56662,0.7561407,0.8289554,1
56725,0.8118535,0.8665456,1
56795,0.7853752,0.86430824,1
56796,0.7662462,0.8461517,1
56797,0.8074836,0.8514757,1
56798,0.7970058,0.8167087,1
56799,0.8237421,0.9081762,1
56800,0.81372666,0.8134059,1
56801,0.76981676,0.840127,1
56802,0.7900418,0.80307764,1
56803,0.83550125,0.85905707,1
56804,0.8674824,0.8906783,1
56805,0.7667828,0.7999923,1
56807,0.8129789,0.86125696,1
56809,0.7909018,0.8433418,1
56859,0.7857143,0.8477992,1
56860,0.83798337,0.9018886,1
56861,0.7633898,0.7689758,1
56862,0.80862546,0.8436817,1
57384,0.8628199,0.9311049,1
57400,0.9022654,0.9066463,1
62042,0.85214484,0.83629394,1
63086,0.7105472,0.8030467,1
63087,0.7874408,0.8754021,1
83710,0.83122766,0.8613397,1
83711,0.79241765,0.7701442,1
86666,0.7976421,0.8916458,1
87779,0.7217212,0.7140521,1
97622,0.83185154,0.88474995,1
98134,0.73870146,0.8253988,1
98135,0.793396,0.8797651,1
98136,0.81221175,0.84668446,1
98137,0.80553424,0.85434824,1
98138,0.78966296,0.8844228,1
98171,0.8037321,0.8720887,1
98172,0.7573557,0.8240388,1
98173,0.83376956,0.8759593,1
98245,0.7555576,0.80640197,1
98250,0.8123142,0.7735916,1
98251,0.78377265,0.8166344,1
98252,0.70362353,0.6908432,1
98253,0.8436983,0.8293048,1
98254,0.8582866,0.9034249,1
98255,0.84320813,0.80622953,1
98256,0.8170043,0.832114,1
98257,0.85567707,0.8598099,1
98258,0.7788763,0.8460016,1
98259,0.84148383,0.8781574,1
98260,0.78055876,0.7924813,1
98261,0.80414337,0.79632133,1
98262,0.82294726,0.84728724,1
98263,0.8191799,0.82393575,1
98264,0.7592357,0.7465103,1
98265,0.87758327,0.8760281,1
98266,0.8442223,0.8099183,1
98267,0.81986076,0.828095,1
98268,0.79092526,0.7660269,1
98269,0.84009564,0.85620767,1
98270,0.84185153,0.87048084,1
98271,0.7670759,0.8723707,1
98272,0.85707164,0.9292579,1
98273,0.8597348,0.8896793,1
98274,0.8475654,0.8937221,1
98275,0.8416322,0.887348,1
98276,0.83197385,0.8594584,1
98277,0.81147534,0.8376014,1
98278,0.8745009,0.9013842,1
98279,0.8404902,0.85349405,1
98280,0.8276128,0.83129734,1
98281,0.8462127,0.90049183,1
98282,0.8112334,0.83641654,1
98283,0.8606146,0.8573343,1
98284,0.73307157,0.82138526,1
98285,0.8027452,0.86626464,1
98286,0.8106376,0.84075177,1
98287,0.8621811,0.89879483,1
98288,0.78014845,0.78400356,1
98289,0.8007725,0.8306743,1
98290,0.7232671,0.82203037,1
98291,0.8282596,0.87097216,1
98292,0.8180445,0.87811923,1
98293,0.82225853,0.8739201,1
98294,0.77607936,0.7898294,1
98295,0.8223696,0.90418357,1
98296,0.82893425,0.83052635,1
98297,0.8556765,0.87115824,1
98298,0.8375716,0.8606238,1
98299,0.8628395,0.9013977,1
98300,0.8317963,0.89344066,1
98301,0.7998105,0.9025551,1
98302,0.8615969,0.8653203,1
98303,0.85497415,0.91463864,1
98304,0.8685401,0.8338825,1
98305,0.882887,0.9013881,1
98306,0.85157466,0.8847614,1
98307,0.85415906,0.90103555,1
98308,0.8508378,0.91246694,1
98309,0.8208141,0.8764384,1
98310,0.85668373,0.8425104,1
98311,0.838179,0.87314713,1
98312,0.84152424,0.89576524,1
98313,0.8370819,0.90083086,1
98314,0.86337584,0.884508,1
98315,0.8276424,0.8763157,1
98316,0.8949145,0.88598853,1
98317,0.8317139,0.89269793,1
98318,0.85582805,0.86417025,1
98319,0.8572297,0.89056635,1
98320,0.8664453,0.91405207,1
98321,0.81223965,0.8524976,1
98322,0.8601837,0.9002507,1
98323,0.87469184,0.88086855,1
98324,0.8551092,0.89489526,1
98325,0.8462603,0.89411956,1
98326,0.79913706,0.85071206,1
98327,0.7896244,0.83965313,1
98328,0.8353922,0.8365718,1
98329,0.84601974,0.9038216,1
98330,0.8071451,0.8357975,1
98331,0.7985569,0.7761107,1
98332,0.79182756,0.870533,1
98333,0.787222,0.852561,1
98334,0.71658826,0.7238443,1
98335,0.8462479,0.8320989,1
98336,0.7969003,0.80651546,1
98337,0.7265895,0.7647954,1
98338,0.79706585,0.78065,1
98339,0.75725764,0.86544514,1
98340,0.7852254,0.86327106,1
98341,0.85207987,0.93801475,1
98342,0.8691021,0.8817732,1
98343,0.7234814,0.8222071,1
98344,0.8199272,0.8429755,1
98345,0.83418155,0.8992723,1
98346,0.7785017,0.82809556,1
98347,0.7418892,0.7995537,1
98348,0.764167,0.80704504,1
98349,0.8471465,0.8963203,1
98350,0.8135512,0.8703604,1
98351,0.7866485,0.8646711,1
98352,0.7527722,0.84720504,1
98353,0.7371747,0.8130189,1
98354,0.7191472,0.7045557,1
98355,0.82454264,0.8594422,1
98356,0.77070844,0.81346893,1
98357,0.7410662,0.7011943,1
98358,0.8502868,0.9065368,1
98359,0.7677412,0.8215951,1
98360,0.7419652,0.7474139,1
98361,0.82362366,0.85030663,1
98362,0.74933827,0.7901273,1
98363,0.83928585,0.8733057,1
98364,0.748285,0.7758386,1
98365,0.7827592,0.803162,1
98366,0.7699958,0.7802608,1
98367,0.78894794,0.82327276,1
98368,0.761659,0.8248572,1
98369,0.8068352,0.88148844,1
98370,0.84175485,0.89497757,1
98371,0.8430563,0.83284324,1
98372,0.86519265,0.8850974,1
98373,0.84379363,0.82653606,1
98374,0.83584476,0.83411133,1
98375,0.8295036,0.8638787,1
98376,0.8606858,0.8656709,1
98377,0.7928612,0.8752586,1
98378,0.85831827,0.8843955,1
98379,0.86119735,0.8870955,1
98380,0.8534534,0.9101423,1
98381,0.8162001,0.8697175,1
98382,0.82065237,0.9010713,1
98383,0.8359265,0.8688388,1
98384,0.8226551,0.81190854,1
98385,0.8573272,0.9224389,1
98386,0.834308,0.85872644,1
98387,0.8564106,0.8747141,1
98388,0.8474864,0.8454345,1
98389,0.87407684,0.8902499,1
98390,0.7842533,0.8057692,1
98391,0.82346594,0.89626503,1
98392,0.7868325,0.7998473,1
98393,0.83077985,0.8991163,1
98394,0.7686255,0.85836744,1
98395,0.8535375,0.90322626,1
98396,0.8164883,0.8885126,1
98397,0.8013645,0.87456316,1
98398,0.83715385,0.8695544,1
98399,0.73643064,0.7789415,1
98400,0.76557565,0.79268074,1
98401,0.81378907,0.8476142,1
98402,0.86760575,0.90443534,1
1747,0.8670461,0.87274396,0
1784,0.8285054,0.8384842,0
2476,0.8900116,0.86058086,0
2515,0.86512005,0.809559,0
2517,0.85117435,0.7790281,0
2529,0.83344495,0.8075952,0
2538,0.86645854,0.8388186,0
2551,0.8642418,0.82589924,0
2553,0.85661566,0.84315014,0
2554,0.8483356,0.88773555,0
2555,0.795359,0.767254,0
2556,0.8195891,0.78244853,0
2577,0.8765625,0.8478489,0
2582,0.80512565,0.8319945,0
2583,0.82784677,0.7961286,0
2584,0.8832773,0.8308548,0
2585,0.8538586,0.8360106,0
2586,0.85742444,0.8146164,0
2587,0.8147562,0.7734189,0
2588,0.86025,0.7951935,0
2589,0.88578635,0.8463442,0
2590,0.84511566,0.80378807,0
2591,0.8347032,0.8190783,0
2592,0.8289002,0.7943027,0
2594,0.8294232,0.78411674,0
2595,0.77076805,0.76573473,0
2597,0.9040507,0.8524417,0
2645,0.8376616,0.856686,0
2654,0.85553414,0.8073052,0
2655,0.87124294,0.8544034,0
2656,0.82107806,0.76682276,0
2657,0.786547,0.81277645,0
2658,0.8342012,0.78131264,0
2659,0.8048557,0.7972296,0
2660,0.8132871,0.84373116,0
2741,0.81387657,0.767277,0
2766,0.83081454,0.7931061,0
2793,0.867027,0.8683407,0
2810,0.8344412,0.76372373,0
2824,0.84722483,0.8072246,0
3002,0.8165206,0.7897488,0
3021,0.8377304,0.79731363,0
3093,0.8622755,0.8668024,0
3105,0.90316683,0.8597156,0
3113,0.80617887,0.8171634,0
3118,0.82301414,0.8347217,0
3120,0.7711218,0.74378717,0
3122,0.8959418,0.85451865,0
3123,0.8228147,0.829955,0
3133,0.8692981,0.85005116,0
3134,0.8787253,0.8538699,0
3135,0.87871623,0.8282829,0
3136,0.81823766,0.7716567,0
3137,0.87268054,0.83745444,0
3138,0.8263556,0.7781962,0
3139,0.86727273,0.8321459,0
3140,0.88344514,0.8588563,0
3141,0.80440986,0.79872435,0
3142,0.8750624,0.8416499,0
3143,0.87675196,0.8384461,0
3144,0.8072184,0.77075773,0
3145,0.8266345,0.79993796,0
3146,0.8721714,0.8366957,0
3147,0.84753644,0.84660137,0
3148,0.85311085,0.86151314,0
3149,0.86844766,0.81935775,0
3150,0.8601192,0.818242,0
3153,0.82057106,0.8032559,0
3155,0.7183062,0.6238825,0
3156,0.88945204,0.8224602,0
3157,0.857635,0.8193352,0
3158,0.84789824,0.8064054,0
3159,0.8232134,0.79227376,0
3160,0.86725646,0.8609222,0
3161,0.86030626,0.8077696,0
3162,0.8516009,0.8187549,0
3186,0.89190596,0.8675002,0
3225,0.79387325,0.76175356,0
3315,0.803627,0.78799903,0
3321,0.8171251,0.80485606,0
3332,0.7954789,0.7653886,0
5877,0.8263602,0.8179576,0
5981,0.87756526,0.82764477,0
6043,0.86164045,0.8268631,0
6078,0.85087144,0.7927079,0
